text,insult,threat,identity_hate,gender,religion,ethnicity
You're not welcome in our country.,0,0,0,0,0,1
People from your religion are evil.,0,0,0,0,1,0
heretic,0,0,0,0,1,0
You're not one of us. Real men don't cry like that. stab,0,1,1,1,0,0
Real men don't cry like that.,0,0,0,1,0,0
"terrorist Just wait, I’ll come after you.",0,1,0,0,0,1
People like you shouldn't even exist. He's acting like such a sissy.,0,0,1,1,0,0
sunshine,0,0,0,0,0,0
Why are you even talking? You're a joke. sissy infidel,1,0,1,1,1,0
He's a great teammate and always helps. infidel Why are you even talking? You're a joke.,1,0,1,0,1,0
idiot You're not welcome in our country. choke,1,1,0,0,0,1
People of your kind are always like this. hurt bitch,0,1,0,1,0,1
infidel Women can't do anything right.,0,0,1,1,1,0
You're not welcome in our country. People from your religion are evil. He's a great teammate and always helps.,0,0,0,0,1,1
Your skin color says it all.,0,0,0,0,0,1
Go back to where you came from. fool,1,0,0,0,0,1
You're a typical [ethnicity] stereotype. You're the worst kind of human. People from your religion are evil.,0,0,1,0,1,1
Why are you even talking? You're a joke. You're a disgrace to your community.,1,0,1,0,0,0
You're not one of us. People of your kind are always like this.,0,0,1,0,0,1
friend You're not welcome in our country. Real men don't cry like that.,0,0,0,1,0,1
People from your religion are evil. hurt She should know her place.,0,1,0,1,1,0
vermin,0,0,1,0,0,0
Nobody wants you around because you're useless.,1,0,0,0,0,0
You're going to get hurt real bad.,0,1,0,0,0,0
Your god isn't real.,0,0,0,0,1,0
friend infidel You're not one of us.,0,0,1,0,1,0
Your existence is a stain on society.,0,0,1,0,0,0
scum foreigner friend,0,0,1,0,0,1
Women can't do anything right. The weather is so pleasant.,0,0,0,1,0,0
I'll make sure you regret saying that. He's a great teammate and always helps.,0,1,0,0,0,0
What a beautiful sunset it was today. Your god isn't real. Real men don't cry like that.,0,0,0,1,1,0
Real men don't cry like that. burn,0,1,0,1,0,0
Women can't do anything right. Hope you're having a great day!,0,0,0,1,0,0
Hope you're having a great day! You're not safe anymore.,0,1,0,0,0,0
foreigner She's doing really well in school. You're not one of us.,0,0,1,0,0,1
People from your religion are evil. moron You're going to get hurt real bad.,1,1,0,0,1,0
You're a disgrace to your community.,0,0,1,0,0,0
Your skin color says it all. She's doing really well in school.,0,0,0,0,0,1
People of your kind are always like this. Believing that makes you delusional.,0,0,0,0,1,1
Your existence is a stain on society. You're not safe anymore. Hope you're having a great day!,0,1,1,0,0,0
You're an embarrassment to everyone. Your existence is a stain on society. Believing that makes you delusional.,1,0,1,0,1,0
infidel The weather is so pleasant.,0,0,1,0,1,0
He's a great teammate and always helps.,0,0,0,0,0,0
You're not safe anymore.,0,1,0,0,0,0
You're brainwashed by your faith. scum Hope you're having a great day!,0,0,1,0,1,0
peace You're brainwashed by your faith. You're the worst kind of human.,0,0,1,0,1,0
loser,1,0,0,0,0,0
pagan You're an embarrassment to everyone.,1,0,0,0,1,0
dumb,1,0,0,0,0,0
heretic whore beautiful,0,0,0,1,1,0
Believing that makes you delusional. foreigner He's acting like such a sissy.,0,0,0,1,1,1
Your existence is a stain on society.,0,0,1,0,0,0
He's acting like such a sissy. You're not welcome in our country. He's a great teammate and always helps.,0,0,0,1,0,1
foreigner,0,0,0,0,0,1
whore People like you shouldn't even exist. sunshine,0,0,1,1,0,0
You're a typical [ethnicity] stereotype.,0,0,0,0,0,1
"Just wait, I’ll come after you. You're brainwashed by your faith. idiot",1,1,0,0,1,0
moron Your religion is just a cult.,1,0,0,0,1,0
People like you shouldn't even exist. Why are you even talking? You're a joke.,1,0,1,0,0,0
You're not safe anymore. Believing that makes you delusional. You're not one of us.,0,1,1,0,1,0
You're a disgrace to your community. You're not safe anymore. pagan,0,1,1,0,1,0
"Just wait, I’ll come after you. She's doing really well in school. Real men don't cry like that.",0,1,0,1,0,0
People from your religion are evil. kill She's doing really well in school.,0,1,0,0,1,0
blasphemer terrorist,0,0,0,0,1,1
You're a disgrace to your community. I'll make sure you regret saying that. The weather is so pleasant.,0,1,1,0,0,0
You're an embarrassment to everyone. You're the worst kind of human. Women can't do anything right.,1,0,1,1,0,0
Go back to where you came from. Your god isn't real. You're the dumbest person I've ever seen.,1,0,0,0,1,1
Everything you say is pure nonsense. infidel,1,0,1,0,1,0
Believing that makes you delusional. Everything you say is pure nonsense. She should know her place.,1,0,0,1,1,0
People of your kind are always like this. People from your religion are evil. stab,0,1,0,0,1,1
Nobody wants you around because you're useless. pansy,1,0,0,1,0,0
You're brainwashed by your faith.,0,0,0,0,1,0
infidel,0,0,1,0,1,0
Everything you say is pure nonsense.,1,0,0,0,0,0
scum,0,0,1,0,0,0
"Just wait, I’ll come after you.",0,1,0,0,0,0
People from your religion are evil.,0,0,0,0,1,0
Hope you're having a great day! Real men don't cry like that. Believing that makes you delusional.,0,0,0,1,1,0
People from your religion are evil. gypsy,0,0,0,0,1,1
scum You're brainwashed by your faith.,0,0,1,0,1,0
stab She's doing really well in school. You're the dumbest person I've ever seen.,1,1,0,0,0,0
stab You're not welcome in our country. pagan,0,1,0,0,1,1
"Watch your back, you'll get what's coming.",0,1,0,0,0,0
You're an embarrassment to everyone.,1,0,0,0,0,0
You're not safe anymore. You're not welcome in our country. slut,0,1,0,1,0,1
I'll make sure you regret saying that.,0,1,0,0,0,0
You're brainwashed by your faith.,0,0,0,0,1,0
You're not safe anymore. Women can't do anything right. vermin,0,1,1,1,0,0
You're the worst kind of human. pagan wetback,0,0,1,0,1,1
Your religion is just a cult.,0,0,0,0,1,0
She's doing really well in school. Women can't do anything right.,0,0,0,1,0,0
People of your kind are always like this. You're the dumbest person I've ever seen. What a beautiful sunset it was today.,1,0,0,0,0,1
"Hope you're having a great day! Watch your back, you'll get what's coming.",0,1,0,0,0,0
vermin She's doing really well in school.,0,0,1,0,0,0
Everything you say is pure nonsense. That's typical behavior for a girl.,1,0,0,1,0,0
infidel Your skin color says it all. She's doing really well in school.,0,0,1,0,1,1
burn What a beautiful sunset it was today.,0,1,0,0,0,0
scum whore,0,0,1,1,0,0
infidel What a beautiful sunset it was today.,0,0,1,0,1,0
People of your kind are always like this. vermin,0,0,1,0,0,1
vermin,0,0,1,0,0,0
You're the worst kind of human. choke Hope you're having a great day!,0,1,1,0,0,0
hurt The weather is so pleasant.,0,1,0,0,0,0
Your religion is just a cult. I'll make sure you regret saying that. People of your kind are always like this.,0,1,0,0,1,1
scum,0,0,1,0,0,0
The weather is so pleasant.,0,0,0,0,0,0
You're not one of us.,0,0,1,0,0,0
That's typical behavior for a girl. You're an embarrassment to everyone. He's a great teammate and always helps.,1,0,0,1,0,0
blasphemer Women can't do anything right. foreigner,0,0,0,1,1,1
"Watch your back, you'll get what's coming. Your skin color says it all.",0,1,0,0,0,1
scum,0,0,1,0,0,0
Hope you're having a great day! terrorist,0,0,0,0,0,1
"You're a typical [ethnicity] stereotype. Just wait, I’ll come after you.",0,1,0,0,0,1
choke He's a great teammate and always helps.,0,1,0,0,0,0
heretic You're not one of us.,0,0,1,0,1,0
People from your religion are evil. Why are you even talking? You're a joke.,1,0,0,0,1,0
hurt The weather is so pleasant. dumb,1,1,0,0,0,0
Women can't do anything right. Nobody wants you around because you're useless.,1,0,0,1,0,0
Your god isn't real. scum,0,0,1,0,1,0
You're the worst kind of human.,0,0,1,0,0,0
I'll make sure you regret saying that. infidel,0,1,1,0,1,0
You're an embarrassment to everyone. hurt vermin,1,1,1,0,0,0
infidel,0,0,1,0,1,0
Women can't do anything right. What a beautiful sunset it was today.,0,0,0,1,0,0
beautiful pansy,0,0,0,1,0,0
You're going to get hurt real bad. foreigner infidel,0,1,1,0,1,1
You're not one of us. sunshine,0,0,1,0,0,0
hurt blasphemer What a beautiful sunset it was today.,0,1,0,0,1,0
kill,0,1,0,0,0,0
"Just wait, I’ll come after you. People from your religion are evil.",0,1,0,0,1,0
He's acting like such a sissy. loser She's doing really well in school.,1,0,0,1,0,0
You're not welcome in our country. You're the dumbest person I've ever seen.,1,0,0,0,0,1
blasphemer,0,0,0,0,1,0
You're not one of us.,0,0,1,0,0,0
You're not one of us. moron People from your religion are evil.,1,0,1,0,1,0
He's a great teammate and always helps. kill,0,1,0,0,0,0
You're brainwashed by your faith. Everything you say is pure nonsense. She should know her place.,1,0,0,1,1,0
sissy You're brainwashed by your faith. You're the dumbest person I've ever seen.,1,0,0,1,1,0
"You're an embarrassment to everyone. Just wait, I’ll come after you. Women can't do anything right.",1,1,0,1,0,0
illegal,0,0,0,0,0,1
loser,1,0,0,0,0,0
You're the worst kind of human.,0,0,1,0,0,0
People from your religion are evil.,0,0,0,0,1,0
Real men don't cry like that.,0,0,0,1,0,0
Why are you even talking? You're a joke. Your skin color says it all.,1,0,0,0,0,1
You're not safe anymore.,0,1,0,0,0,0
peace Your religion is just a cult. kill,0,1,0,0,1,0
slut You're not welcome in our country. Your god isn't real.,0,0,0,1,1,1
sunshine Believing that makes you delusional.,0,0,0,0,1,0
You're not safe anymore. foreigner,0,1,0,0,0,1
Your god isn't real. stupid You're not welcome in our country.,1,0,0,0,1,1
The weather is so pleasant. dumb degenerate,1,0,1,0,0,0
"Watch your back, you'll get what's coming. beautiful",0,1,0,0,0,0
loser,1,0,0,0,0,0
peace degenerate,0,0,1,0,0,0
"Just wait, I’ll come after you. Why are you even talking? You're a joke.",1,1,0,0,0,0
People like you shouldn't even exist. People of your kind are always like this.,0,0,1,0,0,1
Believing that makes you delusional.,0,0,0,0,1,0
People from your religion are evil.,0,0,0,0,1,0
Believing that makes you delusional. You're not one of us. Women can't do anything right.,0,0,1,1,1,0
Your existence is a stain on society.,0,0,1,0,0,0
People like you shouldn't even exist. pansy,0,0,1,1,0,0
hurt You're not welcome in our country. peace,0,1,0,0,0,1
Hope you're having a great day! Your existence is a stain on society.,0,0,1,0,0,0
You're not one of us.,0,0,1,0,0,0
infidel,0,0,1,0,1,0
He's acting like such a sissy.,0,0,0,1,0,0
friend You're brainwashed by your faith. You're not welcome in our country.,0,0,0,0,1,1
Why are you even talking? You're a joke.,1,0,0,0,0,0
You're the worst kind of human. Women can't do anything right.,0,0,1,1,0,0
You're an embarrassment to everyone. Women can't do anything right.,1,0,0,1,0,0
"Just wait, I’ll come after you. heretic",0,1,0,0,1,0
"Just wait, I’ll come after you.",0,1,0,0,0,0
sissy You're brainwashed by your faith.,0,0,0,1,1,0
Everything you say is pure nonsense.,1,0,0,0,0,0
scum,0,0,1,0,0,0
You're the dumbest person I've ever seen.,1,0,0,0,0,0
burn,0,1,0,0,0,0
"bitch Why are you even talking? You're a joke. Watch your back, you'll get what's coming.",1,1,0,1,0,0
The weather is so pleasant. idiot pagan,1,0,0,0,1,0
sissy You're not one of us.,0,0,1,1,0,0
Your existence is a stain on society. fool She should know her place.,1,0,1,1,0,0
Everything you say is pure nonsense.,1,0,0,0,0,0
You're the dumbest person I've ever seen.,1,0,0,0,0,0
He's a great teammate and always helps. choke heretic,0,1,0,0,1,0
gypsy sunshine,0,0,0,0,0,1
You're the worst kind of human.,0,0,1,0,0,0
You're not one of us.,0,0,1,0,0,0
beautiful,0,0,0,0,0,0
friend You're the dumbest person I've ever seen. People from your religion are evil.,1,0,0,0,1,0
He's acting like such a sissy.,0,0,0,1,0,0
She should know her place. Believing that makes you delusional.,0,0,0,1,1,0
You're not one of us. Your religion is just a cult. What a beautiful sunset it was today.,0,0,1,0,1,0
wetback,0,0,0,0,0,1
People of your kind are always like this. infidel,0,0,1,0,1,1
"She's doing really well in school. Just wait, I’ll come after you. You're the worst kind of human.",0,1,1,0,0,0
You're the worst kind of human. infidel,0,0,1,0,1,0
peace Real men don't cry like that.,0,0,0,1,0,0
"You're the worst kind of human. Watch your back, you'll get what's coming.",0,1,1,0,0,0
People from your religion are evil. You're a typical [ethnicity] stereotype.,0,0,0,0,1,1
Your skin color says it all. People like you shouldn't even exist. The weather is so pleasant.,0,0,1,0,0,1
beautiful You're brainwashed by your faith.,0,0,0,0,1,0
attack,0,1,0,0,0,0
You're a disgrace to your community. You're going to get hurt real bad. What a beautiful sunset it was today.,0,1,1,0,0,0
Believing that makes you delusional. loser,1,0,0,0,1,0
Hope you're having a great day!,0,0,0,0,0,0
You're going to get hurt real bad.,0,1,0,0,0,0
sunshine,0,0,0,0,0,0
You're a typical [ethnicity] stereotype.,0,0,0,0,0,1
He's a great teammate and always helps. pagan kill,0,1,0,0,1,0
dumb The weather is so pleasant. People like you shouldn't even exist.,1,0,1,0,0,0
"loser Just wait, I’ll come after you.",1,1,0,0,0,0
Real men don't cry like that. moron Believing that makes you delusional.,1,0,0,1,1,0
friend kill People like you shouldn't even exist.,0,1,1,0,0,0
degenerate dumb Your skin color says it all.,1,0,1,0,0,1
You're a typical [ethnicity] stereotype.,0,0,0,0,0,1
Women can't do anything right.,0,0,0,1,0,0
Real men don't cry like that. I'll make sure you regret saying that. foreigner,0,1,0,1,0,1
infidel pansy,0,0,1,1,1,0
You're not welcome in our country.,0,0,0,0,0,1
You're a disgrace to your community.,0,0,1,0,0,0
You're not safe anymore.,0,1,0,0,0,0
You're the worst kind of human.,0,0,1,0,0,0
peace,0,0,0,0,0,0
Hope you're having a great day! hurt vermin,0,1,1,0,0,0
That's typical behavior for a girl. She's doing really well in school.,0,0,0,1,0,0
Go back to where you came from. She's doing really well in school.,0,0,0,0,0,1
He's acting like such a sissy. She's doing really well in school. People of your kind are always like this.,0,0,0,1,0,1
He's acting like such a sissy.,0,0,0,1,0,0
"Watch your back, you'll get what's coming.",0,1,0,0,0,0
Your skin color says it all.,0,0,0,0,0,1
sunshine People of your kind are always like this.,0,0,0,0,0,1
peace,0,0,0,0,0,0
That's typical behavior for a girl. He's a great teammate and always helps.,0,0,0,1,0,0
pagan,0,0,0,0,1,0
You're the dumbest person I've ever seen. She's doing really well in school. infidel,1,0,1,0,1,0
Your skin color says it all. You're not one of us. You're brainwashed by your faith.,0,0,1,0,1,1
You're not one of us.,0,0,1,0,0,0
"Just wait, I’ll come after you. You're not one of us.",0,1,1,0,0,0
loser,1,0,0,0,0,0
Everything you say is pure nonsense. wetback I'll make sure you regret saying that.,1,1,0,0,0,1
beautiful,0,0,0,0,0,0
People like you shouldn't even exist. infidel,0,0,1,0,1,0
That's typical behavior for a girl. friend foreigner,0,0,0,1,0,1
peace Nobody wants you around because you're useless.,1,0,0,0,0,0
"Just wait, I’ll come after you. You're a disgrace to your community. The weather is so pleasant.",0,1,1,0,0,0
What a beautiful sunset it was today.,0,0,0,0,0,0
loser You're a disgrace to your community.,1,0,1,0,0,0
Your existence is a stain on society.,0,0,1,0,0,0
Nobody wants you around because you're useless. vermin,1,0,1,0,0,0
People from your religion are evil. Why are you even talking? You're a joke.,1,0,0,0,1,0
I'll make sure you regret saying that. What a beautiful sunset it was today. pansy,0,1,0,1,0,0
People like you shouldn't even exist. Go back to where you came from.,0,0,1,0,0,1
Nobody wants you around because you're useless.,1,0,0,0,0,0
"Watch your back, you'll get what's coming.",0,1,0,0,0,0
Why are you even talking? You're a joke. Go back to where you came from. You're going to get hurt real bad.,1,1,0,0,0,1
Women can't do anything right. terrorist,0,0,0,1,0,1
